Oluþturma: Angry IP Scanner 3.9.1
https://angryip.org

Tarandý 37.63.0.0 - 37.63.127.255
2024 Aug 6 17:44:24

IP              Ping            Ana Makine Adý                            Kapýlar              
37.63.60.64     1118 ms         [yok]                                     53                   
37.63.60.63     1120 ms         [yok]                                     53                   
37.63.60.59     1128 ms         [yok]                                     53                   
37.63.60.60     1126 ms         [yok]                                     53                   
37.63.60.61     933 ms          [yok]                                     53                   
37.63.67.123    123 ms          [yok]                                     53                   
37.63.60.81     938 ms          [yok]                                     53                   
37.63.60.139    1189 ms         [yok]                                     53                   
37.63.60.130    1208 ms         [yok]                                     53                   
37.63.60.134    1199 ms         [yok]                                     53                   
37.63.60.126    1216 ms         [yok]                                     53                   
37.63.64.20     237 ms          [yok]                                     53                   
37.63.64.17     244 ms          [yok]                                     53                   
37.63.62.250    173 ms          [yok]                                     53                   
37.63.63.132    182 ms          [yok]                                     53                   
37.63.65.157    1480 ms         [yok]                                     53                   
37.63.67.20     134 ms          [yok]                                     53                   
37.63.66.208    126 ms          [yok]                                     53                   
37.63.65.160    1475 ms         [yok]                                     53                   
37.63.67.65     126 ms          [yok]                                     53                   
37.63.67.67     122 ms          [yok]                                     53                   
37.63.63.66     392 ms          [yok]                                     53                   
37.63.65.220    120 ms          [yok]                                     53                   
37.63.63.53     610 ms          [yok]                                     53                   
37.63.63.61     606 ms          [yok]                                     53                   
37.63.63.51     610 ms          [yok]                                     53                   
37.63.63.56     608 ms          [yok]                                     53                   
37.63.63.215    695 ms          [yok]                                     53                   
37.63.63.157    1623 ms         [yok]                                     53                   
37.63.63.174    1621 ms         [yok]                                     53                   
37.63.71.71     120 ms          [yok]                                     53                   
37.63.71.226    125 ms          [yok]                                     53                   
37.63.72.45     120 ms          [yok]                                     443                  
37.63.72.20     113 ms          [yok]                                     53                   
37.63.72.77     128 ms          [yok]                                     53                   
37.63.72.35     134 ms          [yok]                                     53                   
37.63.71.44     162 ms          [yok]                                     8080                 
37.63.72.33     113 ms          [yok]                                     53                   
37.63.72.31     116 ms          [yok]                                     53                   
37.63.72.65     117 ms          [yok]                                     53                   
37.63.68.89     342 ms          [yok]                                     53                   
37.63.68.85     377 ms          [yok]                                     53                   
37.63.68.18     900 ms          [yok]                                     53                   
37.63.68.21     875 ms          [yok]                                     53                   
37.63.68.33     313 ms          [yok]                                     53                   
